CarID	Average Speed	Max Speed	Average fuel consumption	Distance	Battery Charging Voltage
1	65,17	95,46	9,09	516,67	13,64
2	36,04	90,12	7,68	511,48	14,01
3	30,97	84,79	7,78	445,72	14,54
4	65,17	95,46	9,09	516,67	14,34
5	38,57	86,51	8,78	499,45	13,95
6	30,97	72,62	8,39	313,19	14,5
7	65,17	98,93	9,21	419,93	13,92
8	28,44	78,26	7,75	396,13	14,14
9	30,97	83,46	7,72	411,23	14,32
10	55,04	94,75	8,71	448,91	14,42
11	0	80,4	7,79	370,89	14,51
12	52,5	92,73	8,97	565,67	14,51
13	44,9	91,22	8,65	377,01	14,6
14	36,04	92,88	7,78	493,81	14,16
15	38,57	82,02	8,46	364,44	13,97
16	41,1	87,12	8,49	360,2	13,76
17	33,5	87,11	7,73	427,82	13,93
18	41,1	83,43	8,49	386,93	14,52
19	37,3	79,92	8,41	346,36	14,36
20	37,3	78,22	8,52	371,84	14,51
21	48,7	89,81	8,97	501,34	13,96
22	32,24	83,24	7,82	447,2	13,93
23	32,24	88,54	7,74	481,64	13,65
24	47,44	94,34	8,92	446,21	13,96
25	43,64	89,45	8,79	414,48	13,84
26	55,04	90,04	8,84	571,35	14,05
27	41,1	84,84	8,87	556,25	13,69
28	52,5	92,44	8,76	466,81	14,08
29	37,3	86,19	8,59	369,26	14,48
30	46,17	87,34	8,73	471,05	13,78
31	53,77	92,84	8.92	510,36	14,04
32	32,24	85,63	7,74	417,32	14
33	43,64	89,45	8,79	414,48	13,8
34	42,37	92,37	8,8	478,8	14,27
35	41,1	84,22	8,46	401,86	13,95
36	23,37	81,29	7,7	405,15	14,06
37	39,84	90,73	8,52	420,11	14,44
38	33,5	96,75	7,69	474,43	13,78
39	37,3	86,19	8,59	369,26	14,18
40	44,9	85,62	8,49	424,35	14,12
41	29,7	81,95	7,75	369,4	14,33
42	33,5	82,69	8,48	434,67	13,71
43	48,7	90,57	8,96	484,94	13,64
44	53,77	97,04	9,03	0	14,1
45	43,64	82,12	8,79	349,97	14,5
46	28,44	81,88	7,78	381,39	13,85
47	43,64	90,3	8,72	492,06	13,96
48	25,9	81,98	7,73	400,73	13,66
49	32,24	92,24	7,74	454,91	14,53
50	65,17	95,06	9,3	439,31	14,5
51	32,24	92,78	7,83	474,47	13,73
52	29,7	79,02	7,74	379,72	14,36
53	55,04	95,66	8,98	555,35	14,16
54	23,37	77,54	7,74	369,22	14,44
55	55,04	93,63	8,89	525,28	14,18
56	46,17	96,55	8,9	589,61	14,27
57	44,9	92,95	8,9	349,07	14,3
58	53,77	92,84	8,92	510,36	14,15
59	39,84	88,48	8,53	23,23	14,18
60	39,84	82,76	8,82	463,53	14,33
61	25,9	81,19	7,76	385,81	13,97
62	56,3	95,61	8,65	451,84	13,85
63	67,7	111,66	9,08	538,21	14,29
64	36,04	90,07	7,72	448,82	14,2
65	29,7	81,59	8,67	436,39	13,87
66	39,84	86,31	8,51	419,93	14,49
67	41,1	92,44	7,63	493,59	14
68	47,44	80,98	8,62	354,16	14,21
69	60,1	99,17	9,09	415,29	14,54
70	30,97	85,63		417,32	14,07
71	53,77	97,04	9,03	546,51	13,91
72	33,5	84,94	7,71	421,73	13,93
73	49,97	0	8,84	507,2	14,37
74	58,84	98,72	8,94	415,06	13,91
75	52,5	95,62	8,99	598,67	13,67
76	22,1	77,71	7,65	376,57	14,29
77	23,37	78,33	7,71	384,14	14,41
78	52,5	-0,02	8,58	454,6	14,39
79	47,44	91,69	8,78	408,57	13,77
80	39,84	5,24	7,77	466,9	14,3
81	49,97	95,13	8,89	461,13	14,21
82	28,44	79,78	7,73	363,31	13,66
83	52,5	93,37	8,66	457,75	14,25
84	57,57	95,61	9,02	492,69	14,29
85	42,37	93,26	8,71	513,06	13,99
86	58,84	102,82	9,07	612,5	14,55
87	48,7	89,17	8,56	421,6	13,87
88	48,7	96,61	8,89	471,63	13,63
89	30,97	80,4	7,79	370,89	14,54
90	48,7	92,9	8,88	573,02	14,26
91	52,5	98,66	8,95	533,03	14,55
92	48,7	93,47	8,61	477,09	14,03
93	51,24	90,58	8,59	444,09	14,55
94	58,84	101,54	9	460,05	14,01
95	32,24	86,42	7,71	432,24	13,93
96	47,44	95,57	8,66	495,17	14,16
97	25,9	84,18	7,72	438,14	14,51
98	44,9	91,96	8,63	435,26	13,86
99	46,17	78,67	8,67	372,06	13,69
100	65,17	112,2	9,18	557,78	13,91
101	37,3	96,78	7,67	505,76	13,63
102	37,3	79,85	8,44	358,36	14,5
103	42,37	88,44	8,55	469,34	13,71
104	36,04	84,1	7,76	450,13	14,14
105	30,97	84,75	7,8	489,04	13,99
106	51,24	91,25	8,63	408,34	14,18
